,img_paths,img_labels,train_test
1,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,1
3,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,1
4,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,1
6,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,1
7,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1
8,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,1
10,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,1
14,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,1
17,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,1
19,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,1
20,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,1
22,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,1
29,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,1
30,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1
31,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,1
34,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,1
35,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,1
36,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,1
39,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,1
40,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,1
41,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,1
42,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,1
45,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,1
48,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,1
50,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,1
52,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,1
54,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1
55,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,1
57,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,1
59,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,1
61,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,2,1
63,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,2,1
65,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,2,1
66,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,2,1
68,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,2,1
71,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,2,1
72,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,2,1
73,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,2,1
74,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,2,1
76,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,2,1
77,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,2,1
79,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,2,1
80,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,2,1
83,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,2,1
85,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,2,1
88,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,2,1
95,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,2,1
96,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,2,1
98,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,2,1
101,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,2,1
103,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,2,1
104,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,2,1
108,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,2,1
109,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,2,1
110,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,2,1
112,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,2,1
114,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2,1
115,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,2,1
116,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,2,1
119,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,2,1
120,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,3,1
121,003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,3,1
122,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,3,1
123,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,3,1
124,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,3,1
126,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,3,1
127,003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,3,1
130,003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,3,1
135,003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,3,1
136,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,3,1
137,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,3,1
139,003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,3,1
140,003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,3,1
141,003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,3,1
